"CumulusCatalog","CumulusRecordID","CumulusRecordName","dcterms:modified","dcterms:title","dc:source","dcterms:type","ac:subtype","ac:caption","iptc:CVTerm","ac:subjectPart","ac:subjectOrientation","xmp:CreateDate","ac:digitizationDate","dcterms:creator","dc:creator","dcterms:rightsHolder","dcterms:license","dc:rights","dwc:scientificName","dwc:catalogNumber","dwc:recordedBy","dwc:recordNumber","dwc:country","dwc:countryCode","dwc:stateProvince","dwc:locality","dwc:decimalLatitude","dwc:decimalLongitude","exif:PixelXDimension","exif:PixelYDimension","HeroImage","xmp:Rating","ThumbnailUrlEnabled","PreviewUrlEnabled","FileFormat"
"flora_illustrations","2028","CALLCHIN.TIF","","Callistephus chinensis","","Image","Illustration","","","","","2012-10-18 15:23:28","2012-10-18 15:23:28","Pearson, Su","","Royal Botanic Gardens Victoria","","","Callistephus chinensis","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2029","SYRIVULG.TIF","","Syringa vulgaris","","Image","Illustration","","","","","2012-10-18 15:28:06","2012-10-18 15:28:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Syringa vulgaris","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2031","HAKETERE.TIF","","Hakea teretifolia","","Image","Illustration","","","","","2012-10-18 15:26:16","2012-10-18 15:26:16","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea teretifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2033","HAKETRIF.TIF","","Hakea trifurcata","","Image","Illustration","","","","","2012-10-18 15:26:16","2012-10-18 15:26:16","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea trifurcata","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2034","CALLSERR.TIF","","Callicoma serratifolia","","Image","Illustration","","","","","2012-10-18 15:23:28","2012-10-18 15:23:28","Pearson, Su","","Royal Botanic Gardens Victoria","","","Callicoma serratifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2035","SYRIXPER.TIF","","Stringa ×persica","","Image","Illustration","","","","","2012-10-18 15:28:08","2012-10-18 15:28:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Stringa ×persica","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2037","HAKEULIC.TIF","","Hakea ulicina","","Image","Illustration","","","","","2012-10-18 15:26:16","2012-10-18 15:26:16","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea ulicina","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2038","CALOCITR.TIF","","Calocephalus citreus","","Image","Illustration","","","","","2012-10-18 15:23:30","2012-10-18 15:23:30","Pearson, Su","","Royal Botanic Gardens Victoria","","","Calocephalus citreus","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2039","TACIBELL.TIF","","Tacitus bellus","","Image","Illustration","","","","","2012-10-18 15:28:08","2012-10-18 15:28:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tacitus bellus","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2040","CALOCUNE.TIF","","Calotis cuneifolia","","Image","Illustration","","","","","2012-10-18 15:23:30","2012-10-18 15:23:30","Pearson, Su","","Royal Botanic Gardens Victoria","","","Calotis cuneifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2041","HAKEUNDU.TIF","","Hakea undulata","","Image","Illustration","","","","","2012-10-18 15:26:18","2012-10-18 15:26:18","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea undulata","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2042","TAGEEREC.TIF","","Tagetes erecta","","Image","Illustration","","","","","2012-10-18 15:28:08","2012-10-18 15:28:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tagetes erecta","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2043","HAKEVARI.TIF","","Hakea varia","","Image","Illustration","","","","","2012-10-18 15:26:18","2012-10-18 15:26:18","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea varia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2045","TAGELUCI.TIF","","Tagetes lucida","","Image","Illustration","","","","","2012-10-18 15:28:08","2012-10-18 15:28:08","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tagetes lucida","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2046","CAMPRADI.TIF","","Campsis radicans","","Image","Illustration","","","","","2012-10-18 15:23:30","2012-10-18 15:23:30","Pearson, Su","","Royal Botanic Gardens Victoria","","","Campsis radicans","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2047","HAKEVERR.TIF","","Hakea verrucosa","","Image","Illustration","","","","","2012-10-18 15:26:18","2012-10-18 15:26:18","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea verrucosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2048","TAGEPATU.TIF","","Tagetes patula","","Image","Illustration","","","","","2012-10-18 15:28:10","2012-10-18 15:28:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tagetes patula","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2050","CANTBUXI.TIF","","Cantua buxifolia","","Image","Illustration","","","","","2012-10-18 15:23:30","2012-10-18 15:23:30","Pearson, Su","","Royal Botanic Gardens Victoria","","","Cantua buxifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2051","HAKEVICT.TIF","","Hakea victoria","","Image","Illustration","","","","","2012-10-18 15:26:18","2012-10-18 15:26:18","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hakea victoria","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2052","TANABALS.TIF","","Tanacetum balsamita","","Image","Illustration","","","","","2012-10-18 15:28:10","2012-10-18 15:28:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tanacetum balsamita","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2054","TANACOCC.TIF","","Tanacetum coccineum","","Image","Illustration","","","","","2012-10-18 15:28:10","2012-10-18 15:28:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tanacetum coccineum","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2056","HALLLUCI.TIF","","Halleria lucida","","Image","Illustration","","","","","2012-10-18 15:26:18","2012-10-18 15:26:18","Pearson, Su","","Royal Botanic Gardens Victoria","","","Halleria lucida","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2057","CAPSANNU.TIF","","Capsicum annuum","","Image","Illustration","","","","","2012-10-18 15:23:32","2012-10-18 15:23:32","Pearson, Su","","Royal Botanic Gardens Victoria","","","Capsicum annuum","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2058","HELEAUTU.TIF","","Helenium autumnale","","Image","Illustration","","","","","2012-10-18 15:26:20","2012-10-18 15:26:20","Pearson, Su","","Royal Botanic Gardens Victoria","","","Helenium autumnale","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2059","TANAPART.TIF","","Tanacetum parthenium","","Image","Illustration","","","","","2012-10-18 15:28:10","2012-10-18 15:28:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tanacetum parthenium","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2061","TANAPTAR.TIF","","Tanacetum ptarmiciflorum","","Image","Illustration","","","","","2012-10-18 15:28:10","2012-10-18 15:28:10","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tanacetum ptarmiciflorum","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2062","HELIANNU.TIF","","Helianthus annuus","","Image","Illustration","","","","","2012-10-18 15:26:20","2012-10-18 15:26:20","Pearson, Su","","Royal Botanic Gardens Victoria","","","Helianthus annuus","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2064","CARTTINC.TIF","","Carthamus tinctorius","","Image","Illustration","","","","","2012-10-18 15:23:32","2012-10-18 15:23:32","Pearson, Su","","Royal Botanic Gardens Victoria","","","Carthamus tinctorius","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2065","TANAVULG.TIF","","Tanacetum vulgare","","Image","Illustration","","","","","2012-10-18 15:28:12","2012-10-18 15:28:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tanacetum vulgare","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2066","HELIHELI.TIF","","Heliopsis helianthoides","","Image","Illustration","","","","","2012-10-18 15:26:20","2012-10-18 15:26:20","Pearson, Su","","Royal Botanic Gardens Victoria","","","Heliopsis helianthoides","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2068","CASSACUL.TIF","","Cassinia aculeata","","Image","Illustration","","","","","2012-10-18 15:23:32","2012-10-18 15:23:32","Pearson, Su","","Royal Botanic Gardens Victoria","","","Cassinia aculeata","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2069","HELIPETI.TIF","","Helichrysum petiolare","","Image","Illustration","","","","","2012-10-18 15:26:20","2012-10-18 15:26:20","Pearson, Su","","Royal Botanic Gardens Victoria","","","Helichrysum petiolare","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2070","TARASERU.TIF","","Taraxacum sect ruderalia","","Image","Illustration","","","","","2012-10-18 15:28:12","2012-10-18 15:28:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Taraxacum sect ruderalia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2072","TECOCAPE.TIF","","Tecomaria capensis","","Image","Illustration","","","","","2012-10-18 15:28:12","2012-10-18 15:28:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tecomaria capensis","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2074","HELITUBE.TIF","","Helianthus tuberosus","","Image","Illustration","","","","","2012-10-18 15:26:20","2012-10-18 15:26:20","Pearson, Su","","Royal Botanic Gardens Victoria","","","Helianthus tuberosus","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2077","HEMIALTE.TIF","","Hemigraphis alternata","","Image","Illustration","","","","","2012-10-18 15:26:22","2012-10-18 15:26:22","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hemigraphis alternata","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2078","TECODEND.TIF","","Tecomanthe dendrophila","","Image","Illustration","","","","","2012-10-18 15:28:12","2012-10-18 15:28:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tecomanthe dendrophila","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2080","TECOSTAN.TIF","","Tecoma stans","","Image","Illustration","","","","","2012-10-18 15:28:12","2012-10-18 15:28:12","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tecoma stans","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2082","HYDASPAS.TIF","","Hydrangea aspera  subsp. Aspera","","Image","Illustration","","","","","2012-10-18 15:26:22","2012-10-18 15:26:22","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hydrangea aspera  subsp. Aspera","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2083","TECOXSMI.TIF","","Tecoma ×smithii","","Image","Illustration","","","","","2012-10-18 15:28:14","2012-10-18 15:28:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tecoma ×smithii","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2084","EUCRCORD.TIF","","Eucryphia cordifolia","","Image","Illustration","","","","","2012-10-18 15:25:06","2012-10-18 15:25:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Eucryphia cordifolia","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2086","TELLGRAN.TIF","","Tellima grandiflora","","Image","Illustration","","","","","2012-10-18 15:28:14","2012-10-18 15:28:14","Pearson, Su","","Royal Botanic Gardens Victoria","","","Tellima grandiflora","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2087","HYDMACFL.TIF","","Hydrangea macrophylla subsp. Flamingo","","Image","Illustration","","","","","2012-10-18 15:26:22","2012-10-18 15:26:22","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hydrangea macrophylla subsp. Flamingo","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2088","EUCRGLUT.TIF","","Eucryphia glutinosa","","Image","Illustration","","","","","2012-10-18 15:25:06","2012-10-18 15:25:06","Pearson, Su","","Royal Botanic Gardens Victoria","","","Eucryphia glutinosa","","","","","","","",,,2362,2836,,,,,"TIFF Image"
"flora_illustrations","2089","HYDRARBO.TIF","","Hydrangea arborescens","","Image","Illustration","","","","","2012-10-18 15:26:22","2012-10-18 15:26:22","Pearson, Su","","Royal Botanic Gardens Victoria","","","Hydrangea arborescens","","","","","","","",,,2362,2836,,,,,"TIFF Image"
